nohup: ignoring input
INFO:root:Namespace(batch_size=256, dataset='ml-20m', factor_size_gmf=64, gpus='0', layers='[256, 128, 64]', log_interval=100, model_type='neumf', num_epoch=10, num_hidden=1, num_neg=4, num_valid=1000, path='./data/', seed=1, sparse=False)
[17:31:58] src/base.cc:51: Upgrade advisory: this mxnet has been built against cuda library version 9000, which is older than the oldest version tested by CI (10000).  Set MXNET_CUDA_LIB_CHECKING=0 to quiet this warning.
train_ncf.py:139: UserWarning: Optimizer created manually outside Module but rescale_grad is not normalized to 1.0/batch_size/num_workers (1.0 vs. 0.00390625). Is this intended?
  mod.init_optimizer(optimizer=optim, kvstore='device')
INFO:root:Training started ...
INFO:root:Epoch[0] Batch [9500-9600]	Speed: 50138.79 samples/sec	cross_entropy=53.800343
INFO:root:Epoch[0] Batch [9600-9700]	Speed: 50524.82 samples/sec	cross_entropy=51.625355
INFO:root:Epoch[0] Batch [9700-9800]	Speed: 49571.97 samples/sec	cross_entropy=53.591251
INFO:root:Epoch[0] Batch [9800-9900]	Speed: 49468.49 samples/sec	cross_entropy=51.772446
INFO:root:Epoch[0] Batch [9900-10000]	Speed: 49678.53 samples/sec	cross_entropy=52.341496
INFO:root:Epoch[0] Batch [10000-10100]	Speed: 47431.56 samples/sec	cross_entropy=54.448498
INFO:root:Epoch[0] Batch [10100-10200]	Speed: 48894.59 samples/sec	cross_entropy=53.325478
INFO:root:Epoch[0] Batch [10200-10300]	Speed: 49873.24 samples/sec	cross_entropy=52.650803
INFO:root:Epoch[0] Batch [10300-10400]	Speed: 49892.14 samples/sec	cross_entropy=52.303566
INFO:root:Epoch[0] Batch [10400-10500]	Speed: 50495.40 samples/sec	cross_entropy=52.066898
INFO:root:Epoch[0] Batch [10500-10600]	Speed: 49060.51 samples/sec	cross_entropy=53.172073
INFO:root:Epoch[0] Batch [10600-10700]	Speed: 49341.87 samples/sec	cross_entropy=53.372856
INFO:root:Epoch[0] Batch [10700-10800]	Speed: 50035.99 samples/sec	cross_entropy=52.473557
INFO:root:Epoch[0] Batch [10800-10900]	Speed: 47947.92 samples/sec	cross_entropy=52.153614
INFO:root:Epoch[0] Batch [10900-11000]	Speed: 47103.15 samples/sec	cross_entropy=53.203995
INFO:root:Epoch[0] Batch [11000-11100]	Speed: 48352.85 samples/sec	cross_entropy=52.844326
INFO:root:Epoch[0] Batch [11100-11200]	Speed: 49786.77 samples/sec	cross_entropy=53.082798
INFO:root:Epoch[0] Batch [11200-11300]	Speed: 50948.85 samples/sec	cross_entropy=52.513809
INFO:root:Epoch[0] Batch [11300-11400]	Speed: 51146.32 samples/sec	cross_entropy=53.736431
INFO:root:Epoch[0] Batch [11400-11500]	Speed: 42994.63 samples/sec	cross_entropy=51.686981
INFO:root:Epoch[0] Batch [11500-11600]	Speed: 49778.00 samples/sec	cross_entropy=52.379990
INFO:root:Epoch[0] Batch [11600-11700]	Speed: 47927.52 samples/sec	cross_entropy=52.619190
INFO:root:Epoch[0] Batch [11700-11800]	Speed: 50216.48 samples/sec	cross_entropy=52.226475
INFO:root:Epoch[0] Batch [11800-11900]	Speed: 50092.13 samples/sec	cross_entropy=51.330063
INFO:root:Epoch[0] Batch [11900-12000]	Speed: 49698.88 samples/sec	cross_entropy=51.425968
INFO:root:Epoch[0] Batch [12000-12100]	Speed: 49148.63 samples/sec	cross_entropy=52.409492
INFO:root:Epoch[0] Batch [12100-12200]	Speed: 50119.09 samples/sec	cross_entropy=51.289413
INFO:root:Epoch[0] Batch [12200-12300]	Speed: 50246.28 samples/sec	cross_entropy=51.520512
INFO:root:Epoch[0] Batch [12300-12400]	Speed: 50747.44 samples/sec	cross_entropy=51.449764
INFO:root:Epoch[0] Batch [12400-12500]	Speed: 50368.89 samples/sec	cross_entropy=51.235619
INFO:root:Epoch[0] Batch [12500-12600]	Speed: 49897.57 samples/sec	cross_entropy=52.955772
INFO:root:Epoch[0] Batch [12600-12700]	Speed: 48272.12 samples/sec	cross_entropy=51.474400
INFO:root:Epoch[0] Batch [12700-12800]	Speed: 49137.95 samples/sec	cross_entropy=53.240814
INFO:root:Epoch[0] Batch [12800-12900]	Speed: 50560.84 samples/sec	cross_entropy=52.238861
INFO:root:Epoch[0] Batch [12900-13000]	Speed: 50892.94 samples/sec	cross_entropy=51.860458
INFO:root:Epoch[0] Batch [13000-13100]	Speed: 45196.18 samples/sec	cross_entropy=52.247929
INFO:root:Epoch[0] Batch [13100-13200]	Speed: 50688.77 samples/sec	cross_entropy=51.104496
INFO:root:Epoch[0] Batch [13200-13300]	Speed: 50539.18 samples/sec	cross_entropy=53.352921
INFO:root:Epoch[0] Batch [13300-13400]	Speed: 43415.45 samples/sec	cross_entropy=52.288593
INFO:root:Epoch[0] Batch [13400-13500]	Speed: 50052.06 samples/sec	cross_entropy=51.054390
INFO:root:Epoch[0] Batch [13500-13600]	Speed: 47392.76 samples/sec	cross_entropy=52.523598
INFO:root:Epoch[0] Batch [13600-13700]	Speed: 49632.63 samples/sec	cross_entropy=51.172874
INFO:root:Epoch[0] Batch [13700-13800]	Speed: 49530.68 samples/sec	cross_entropy=51.128891
INFO:root:Epoch[0] Batch [13800-13900]	Speed: 48915.17 samples/sec	cross_entropy=52.350784
INFO:root:Epoch[0] Batch [13900-14000]	Speed: 49068.52 samples/sec	cross_entropy=50.628918
INFO:root:Epoch[0] Batch [14000-14100]	Speed: 50201.10 samples/sec	cross_entropy=51.816723
INFO:root:Epoch[0] Batch [14100-14200]	Speed: 50124.24 samples/sec	cross_entropy=51.978607
INFO:root:Epoch[0] Batch [14200-14300]	Speed: 49637.97 samples/sec	cross_entropy=51.940468
INFO:root:Epoch[0] Batch [14300-14400]	Speed: 49950.19 samples/sec	cross_entropy=52.645340
INFO:root:Epoch[0] Batch [14400-14500]	Speed: 49322.45 samples/sec	cross_entropy=52.234676
INFO:root:Epoch[0] Batch [14500-14600]	Speed: 49214.07 samples/sec	cross_entropy=51.988335
INFO:root:Epoch[0] Batch [14600-14700]	Speed: 49833.52 samples/sec	cross_entropy=51.914642
INFO:root:Epoch[0] Batch [14700-14800]	Speed: 50820.08 samples/sec	cross_entropy=51.524063
INFO:root:Epoch[0] Batch [14800-14900]	Speed: 51929.26 samples/sec	cross_entropy=52.425461
INFO:root:Epoch[0] Batch [14900-15000]	Speed: 51876.57 samples/sec	cross_entropy=51.554920
INFO:root:Epoch[0] Batch [15000-15100]	Speed: 49914.48 samples/sec	cross_entropy=52.012505
INFO:root:Epoch[0] Batch [15100-15200]	Speed: 49474.08 samples/sec	cross_entropy=51.874287
INFO:root:Epoch[0] Batch [15200-15300]	Speed: 51232.12 samples/sec	cross_entropy=51.433266
INFO:root:Epoch[0] Batch [15300-15400]	Speed: 51825.87 samples/sec	cross_entropy=51.674271
INFO:root:Epoch[0] Batch [15400-15500]	Speed: 48282.32 samples/sec	cross_entropy=52.253918
INFO:root:Epoch[0] Batch [15500-15600]	Speed: 51783.00 samples/sec	cross_entropy=51.318653
INFO:root:Epoch[0] Batch [15600-15700]	Speed: 47402.43 samples/sec	cross_entropy=51.517197
INFO:root:Epoch[0] Batch [15700-15800]	Speed: 48013.05 samples/sec	cross_entropy=52.367874
INFO:root:Epoch[0] Batch [15800-15900]	Speed: 52227.36 samples/sec	cross_entropy=50.808727
INFO:root:Epoch[0] Batch [15900-16000]	Speed: 51800.27 samples/sec	cross_entropy=52.120155
INFO:root:Epoch[0] Batch [16000-16100]	Speed: 51351.01 samples/sec	cross_entropy=51.935928
INFO:root:Epoch[0] Batch [16100-16200]	Speed: 51813.74 samples/sec	cross_entropy=51.064522
INFO:root:Epoch[0] Batch [16200-16300]	Speed: 51768.97 samples/sec	cross_entropy=52.325981
INFO:root:Epoch[0] Batch [16300-16400]	Speed: 51527.37 samples/sec	cross_entropy=52.608360
INFO:root:Epoch[0] Batch [16400-16500]	Speed: 51894.32 samples/sec	cross_entropy=52.619949
INFO:root:Epoch[0] Batch [16500-16600]	Speed: 50745.14 samples/sec	cross_entropy=52.024803
INFO:root:Epoch[0] Batch [16600-16700]	Speed: 51929.66 samples/sec	cross_entropy=51.176762
INFO:root:Epoch[0] Batch [16700-16800]	Speed: 51160.24 samples/sec	cross_entropy=52.237186
INFO:root:Epoch[0] Batch [16800-16900]	Speed: 51433.93 samples/sec	cross_entropy=50.881645
INFO:root:Epoch[0] Batch [16900-17000]	Speed: 51864.97 samples/sec	cross_entropy=51.147354
INFO:root:Epoch[0] Batch [17000-17100]	Speed: 51497.12 samples/sec	cross_entropy=51.830753
INFO:root:Epoch[0] Batch [17100-17200]	Speed: 51658.39 samples/sec	cross_entropy=52.886852
INFO:root:Epoch[0] Batch [17200-17300]	Speed: 51906.54 samples/sec	cross_entropy=51.709110
INFO:root:Epoch[0] Batch [17300-17400]	Speed: 51627.12 samples/sec	cross_entropy=52.134712
INFO:root:Epoch[0] Batch [17400-17500]	Speed: 51552.29 samples/sec	cross_entropy=50.991798
INFO:root:Epoch[0] Batch [17500-17600]	Speed: 51267.01 samples/sec	cross_entropy=51.041847
INFO:root:Epoch[0] Batch [17600-17700]	Speed: 51394.17 samples/sec	cross_entropy=50.546543
INFO:root:Epoch[0] Batch [17700-17800]	Speed: 51877.07 samples/sec	cross_entropy=51.213261
INFO:root:Epoch[0] Batch [17800-17900]	Speed: 51301.81 samples/sec	cross_entropy=51.050838
INFO:root:Epoch[0] Batch [17900-18000]	Speed: 49982.35 samples/sec	cross_entropy=50.993118
INFO:root:Epoch[0] Batch [18000-18100]	Speed: 51785.20 samples/sec	cross_entropy=49.710526
INFO:root:Epoch[0] Batch [18100-18200]	Speed: 49335.16 samples/sec	cross_entropy=50.885738
INFO:root:Epoch[0] Batch [18200-18300]	Speed: 52151.34 samples/sec	cross_entropy=52.371498
INFO:root:Epoch[0] Batch [18300-18400]	Speed: 49860.57 samples/sec	cross_entropy=51.167362
INFO:root:Epoch[0] Batch [18400-18500]	Speed: 50226.65 samples/sec	cross_entropy=50.962723
INFO:root:Epoch[0] Batch [18500-18600]	Speed: 45988.07 samples/sec	cross_entropy=50.088776
