INFO:root:Namespace(batch_size=256, dataset='ml-20m', factor_size_gmf=64, gpus='0', layers='[256, 128, 64]', log_interval=100, model_type='neumf', num_epoch=3, num_hidden=1, num_neg=4, num_valid=1000, path='./data/', seed=1, sparse=False)
train_ncf.py:139: UserWarning: Optimizer created manually outside Module but rescale_grad is not normalized to 1.0/batch_size/num_workers (1.0 vs. 0.00390625). Is this intended?
  mod.init_optimizer(optimizer=optim, kvstore='device')
INFO:root:Training started ...
INFO:root:Epoch[0] Batch [21100-21200]	Speed: 66620.78 samples/sec	cross_entropy=50.171642
INFO:root:Epoch[0] Batch [21200-21300]	Speed: 66879.51 samples/sec	cross_entropy=51.770401
INFO:root:Epoch[0] Batch [21300-21400]	Speed: 66047.64 samples/sec	cross_entropy=49.166176
INFO:root:Epoch[0] Batch [21400-21500]	Speed: 66137.02 samples/sec	cross_entropy=50.657036
INFO:root:Epoch[0] Batch [21500-21600]	Speed: 66566.80 samples/sec	cross_entropy=49.552490
INFO:root:Epoch[0] Batch [21600-21700]	Speed: 66738.67 samples/sec	cross_entropy=50.873219
INFO:root:Epoch[0] Batch [21700-21800]	Speed: 66072.60 samples/sec	cross_entropy=50.761879
INFO:root:Epoch[0] Batch [21800-21900]	Speed: 66484.74 samples/sec	cross_entropy=50.068687
INFO:root:Epoch[0] Batch [21900-22000]	Speed: 65348.66 samples/sec	cross_entropy=49.261753
INFO:root:Epoch[0] Batch [22000-22100]	Speed: 65409.05 samples/sec	cross_entropy=50.260204
INFO:root:Epoch[0] Batch [22100-22200]	Speed: 66496.76 samples/sec	cross_entropy=51.556339
INFO:root:Epoch[0] Batch [22200-22300]	Speed: 66196.06 samples/sec	cross_entropy=49.737568
INFO:root:Epoch[0] Batch [22300-22400]	Speed: 66743.28 samples/sec	cross_entropy=48.719120
INFO:root:Epoch[0] Batch [22400-22500]	Speed: 65323.45 samples/sec	cross_entropy=49.297607
INFO:root:Epoch[0] Batch [22500-22600]	Speed: 66876.26 samples/sec	cross_entropy=51.235199
INFO:root:Epoch[0] Batch [22600-22700]	Speed: 66764.48 samples/sec	cross_entropy=50.693634
INFO:root:Epoch[0] Batch [22700-22800]	Speed: 66289.57 samples/sec	cross_entropy=48.198750
INFO:root:Epoch[0] Batch [22800-22900]	Speed: 65723.54 samples/sec	cross_entropy=48.183331
INFO:root:Epoch[0] Batch [22900-23000]	Speed: 67221.46 samples/sec	cross_entropy=50.812515
INFO:root:Epoch[0] Batch [23000-23100]	Speed: 67123.80 samples/sec	cross_entropy=48.716461
INFO:root:Epoch[0] Batch [23100-23200]	Speed: 66954.95 samples/sec	cross_entropy=50.048302
INFO:root:Epoch[0] Batch [23200-23300]	Speed: 67091.38 samples/sec	cross_entropy=49.386795
INFO:root:Epoch[0] Batch [23300-23400]	Speed: 67323.16 samples/sec	cross_entropy=50.284744
INFO:root:Epoch[0] Batch [23400-23500]	Speed: 67182.68 samples/sec	cross_entropy=50.636494
INFO:root:Epoch[0] Batch [23500-23600]	Speed: 60197.34 samples/sec	cross_entropy=49.840107
INFO:root:Epoch[0] Batch [23600-23700]	Speed: 59776.86 samples/sec	cross_entropy=51.334316
INFO:root:Epoch[0] Batch [23700-23800]	Speed: 65574.94 samples/sec	cross_entropy=48.714321
INFO:root:Epoch[0] Batch [23800-23900]	Speed: 66435.58 samples/sec	cross_entropy=50.509476
INFO:root:Epoch[0] Batch [23900-24000]	Speed: 61901.27 samples/sec	cross_entropy=52.020996
INFO:root:Epoch[0] Batch [24000-24100]	Speed: 60217.16 samples/sec	cross_entropy=49.914112
INFO:root:Epoch[0] Batch [24100-24200]	Speed: 57805.69 samples/sec	cross_entropy=48.313698
INFO:root:Epoch[0] Batch [24200-24300]	Speed: 59929.20 samples/sec	cross_entropy=49.632221
INFO:root:Epoch[0] Batch [24300-24400]	Speed: 61217.59 samples/sec	cross_entropy=49.886387
INFO:root:Epoch[0] Batch [24400-24500]	Speed: 66900.72 samples/sec	cross_entropy=50.062958
INFO:root:Epoch[0] Batch [24500-24600]	Speed: 62952.02 samples/sec	cross_entropy=49.313690
INFO:root:Epoch[0] Batch [24600-24700]	Speed: 60042.77 samples/sec	cross_entropy=48.376606
INFO:root:Epoch[0] Batch [24700-24800]	Speed: 59765.88 samples/sec	cross_entropy=49.252884
INFO:root:Epoch[0] Batch [24800-24900]	Speed: 62901.61 samples/sec	cross_entropy=49.053627
INFO:root:Epoch[0] Batch [24900-25000]	Speed: 67066.49 samples/sec	cross_entropy=49.115337
INFO:root:Epoch[0] Batch [25000-25100]	Speed: 64370.62 samples/sec	cross_entropy=49.392895
INFO:root:Epoch[0] Batch [25100-25200]	Speed: 66918.65 samples/sec	cross_entropy=50.411007
INFO:root:Epoch[0] Batch [25200-25300]	Speed: 62782.63 samples/sec	cross_entropy=48.614872
INFO:root:Epoch[0] Batch [25300-25400]	Speed: 63918.11 samples/sec	cross_entropy=47.774639
INFO:root:Epoch[0] Batch [25400-25500]	Speed: 64833.57 samples/sec	cross_entropy=49.197506
